CONTAINER ID                                                       IMAGE                             COMMAND                                                                                                                                                                                                                 CREATED             STATUS                             PORTS                    NAMES
f3f48e6918df032b4b411ad8c4e7b271597db004e5308b1e75d967f6e23a845e   wiredbrain_prometheus             "/bin/prometheus --config.file=/etc/prometheus/prometheus.yml --storage.tsdb.path=/prometheus --web.console.libraries=/usr/share/prometheus/console_libraries --web.console.templates=/usr/share/prometheus/consoles"   20 seconds ago      Up 19 seconds                      0.0.0.0:9090->9090/tcp   prometheus
99ba578861b9046e6ef790aeeb90806b748ecc3c5bb01304af18e3a34df30c46   gcr.io/cadvisor/cadvisor:latest   "/usr/bin/cadvisor -logtostderr"                                                                                                                                                                                        22 seconds ago      Up 20 seconds (health: starting)   0.0.0.0:8080->8080/tcp   cadvisor
e517479b93079014b7ead5ce59e0a66c1f2202f9098013653fca59dab836195a   prom/mysqld-exporter:latest       "/bin/mysqld_exporter --collect.global_status"                                                                                                                                                                          22 seconds ago      Up 20 seconds                      0.0.0.0:9104->9104/tcp   db_mysqld_exporter
064a324c656b354d1d9ea87ce42a093f5e1744bb9bfd8322c1fc7e68d3c1b43e   wiredbrain_productservice         "python3 ./app.py"                                                                                                                                                                                                      24 seconds ago      Up 21 seconds                                               wiredbrain_productservice_1
20fb7d5def1678625f1530a2074a833cc758bf5138f01b404eb121195630f80b   redis:latest                      "docker-entrypoint.sh redis-server"                                                                                                                                                                                     24 seconds ago      Up 21 seconds                      0.0.0.0:6379->6379/tcp   redis
5695cdf71a56383b238da516c55d0d58faf2a1c10b98de2ad90a25eb5a95a520   mysql                             "docker-entrypoint.sh --init-file /data/application/init.sql --default-authentication-plugin=mysql_native_password"                                                                                                     24 seconds ago      Up 21 seconds                      3306/tcp, 33060/tcp      wiredbrain_db_1
c0d6986b23624c15de485d8bc5185748a76539d5dceeec08bd55885f9130e067   wiredbrain_web                    "/docker-entrypoint.sh nginx -g 'daemon off;'"                                                                                                                                                                          24 seconds ago      Up 21 seconds (health: starting)   0.0.0.0:80->80/tcp       wiredbrain_web_1
d46f51fe2a6947792742bef9f554c41ebc4196e4f8ff751f0e26af0ff1a3356b   prom/alertmanager:latest          "/bin/alertmanager --config.file=/etc/alertmanager/config.yml --storage.path=/alertmanager"                                                                                                                             24 seconds ago      Up 21 seconds                      0.0.0.0:9093->9093/tcp   wiredbrain_alertmanager_1
db634b0d1578c126202e97fd92fbd55660aa49c2205454440ca90697d782f927   grafana/grafana:latest            "/run.sh"                                                                                                                                                                                                               24 seconds ago      Up 21 seconds                      0.0.0.0:3000->3000/tcp   wiredbrain_grafana_1
245a02ec32120619665aee45111ca81388ab51f022053a5b37f9e369f40bb43b   prom/node-exporter:latest         "/bin/node_exporter --path.procfs=/host/proc --path.rootfs=/rootfs --path.sysfs=/host/sys --collector.filesystem.mount-points-exclude=^/(sys|proc|dev|host|etc)($|/)"                                                   24 seconds ago      Up 22 seconds                      0.0.0.0:9100->9100/tcp   node-exporter
